Part Name,Part Type,Quantity,Parent Assembly,Make / Buy,Material,Weight (g),Standard vs Custom,Fastener Flag
Battery Pack Housing - Top Cover,Component,1,Battery Assembly,Make,ABS Plastic,50,Custom,No
Battery Pack Housing - Bottom Cover,Component,1,Battery Assembly,Make,ABS Plastic,60,Custom,No
Battery Cell 1 - Li-ion 18650,Component,1,Battery Assembly,Buy,Li-ion,45,Standard,No
Battery Cell 2 - Li-ion 18650,Component,1,Battery Assembly,Buy,Li-ion,45,Standard,No
Battery Cell 3 - Li-ion 18650,Component,1,Battery Assembly,Buy,Li-ion,45,Standard,No
Battery Cell 4 - Li-ion 18650,Component,1,Battery Assembly,Buy,Li-ion,45,Standard,No
Battery Cell 5 - Li-ion 18650,Component,1,Battery Assembly,Buy,Li-ion,45,Standard,No
Battery Cell 6 - Li-ion 18650,Component,1,Battery Assembly,Buy,Li-ion,45,Standard,No
Interconnect Busbar 1,Component,1,Battery Assembly,Make,Nickel-plated Copper,15,Custom,No
Interconnect Busbar 2,Component,1,Battery Assembly,Make,Nickel-plated Copper,15,Custom,No
PCM / BMS Board,Electrical,1,Battery Assembly,Buy,FR4 / Electronic,10,Custom,No
BMS IC - Protection Chip,Electrical,1,Battery Assembly,Buy,Silicon,0.5,Standard,No
BMS IC - Fuel Gauge,Electrical,1,Battery Assembly,Buy,Silicon,0.5,Standard,No
Thermistor Sensor 1,Electrical,1,Battery Assembly,Buy,NTC Thermistor,0.2,Standard,No
Thermistor Sensor 2,Electrical,1,Battery Assembly,Buy,NTC Thermistor,0.2,Standard,No
Temperature Fuse,Electrical,1,Battery Assembly,Buy,Metal Alloy,0.1,Standard,No
Nickel-plated Connector 1,Component,1,Battery Assembly,Buy,Copper,2,Standard,No
Nickel-plated Connector 2,Component,1,Battery Assembly,Buy,Copper,2,Standard,No
Adhesive Tape - Cell Insulation 1,Material,1,Battery Assembly,Buy,Polyimide,2,Standard,No
Adhesive Tape - Cell Insulation 2,Material,1,Battery Assembly,Buy,Polyimide,2,Standard,No
Adhesive Tape - Cell Insulation 3,Material,1,Battery Assembly,Buy,Polyimide,2,Standard,No
Adhesive Tape - Cell Insulation 4,Material,1,Battery Assembly,Buy,Polyimide,2,Standard,No
Adhesive Tape - Cell Insulation 5,Material,1,Battery Assembly,Buy,Polyimide,2,Standard,No
Adhesive Tape - Cell Insulation 6,Material,1,Battery Assembly,Buy,Polyimide,2,Standard,No
Double-sided Foam Pad 1,Material,1,Battery Assembly,Buy,PU Foam,5,Standard,No
Double-sided Foam Pad 2,Material,1,Battery Assembly,Buy,PU Foam,5,Standard,No
Shrink Wrap - Cell Bundle,Material,1,Battery Assembly,Buy,Polyolefin,10,Standard,No
Heat Shrink Tube - Wire 1,Material,1,Battery Assembly,Buy,Polyolefin,1,Standard,No
Heat Shrink Tube - Wire 2,Material,1,Battery Assembly,Buy,Polyolefin,1,Standard,No
Heat Shrink Tube - Wire 3,Material,1,Battery Assembly,Buy,Polyolefin,1,Standard,No
Heat Shrink Tube - Wire 4,Material,1,Battery Assembly,Buy,Polyolefin,1,Standard,No
Foam Gasket - EMI Shield 1,Material,1,Battery Assembly,Buy,PU Foam,1,Standard,No
Foam Gasket - EMI Shield 2,Material,1,Battery Assembly,Buy,PU Foam,1,Standard,No
Silicone Pad - Cell Cushion 1,Material,1,Battery Assembly,Buy,Silicone,3,Standard,No
Silicone Pad - Cell Cushion 2,Material,1,Battery Assembly,Buy,Silicone,3,Standard,No
Screw M2x4 Phillips 1,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 2,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 3,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 4,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 5,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 6,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 7,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 8,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 9,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x4 Phillips 10,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x3 Phillips 1,Fastener,1,Battery Assembly,Buy,Steel,0.4,Standard,Yes
Screw M2x3 Phillips 2,Fastener,1,Battery Assembly,Buy,Steel,0.4,Standard,Yes
Screw M2x3 Phillips 3,Fastener,1,Battery Assembly,Buy,Steel,0.4,Standard,Yes
Screw M2x3 Phillips 4,Fastener,1,Battery Assembly,Buy,Steel,0.4,Standard,Yes
Retaining Bracket,Component,1,Battery Assembly,Make,Steel,15,Custom,No
Screw M2x6 - Retaining Bracket 1,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x6 - Retaining Bracket 2,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x6 - Retaining Bracket 3,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
Screw M2x6 - Retaining Bracket 4,Fastener,1,Battery Assembly,Buy,Steel,0.5,Standard,Yes
