Level,Parent Part Number,Parent Description,Child Description,UOM,Node Type,Make/Buy,Work Center,Procurement Steps,Operations (Routing Embedded),Consumables,Qty,Child Part Number,Hierarchy Path,Revision,Effective Date,Inventory Status,Stock_Qty,Store_Location,Procurement Action,Approved_Supplier,Lead_Time_Days,timestamp,company_id
0,Laptop Accessory,Top Level,Laptop Charger Assembly,EA,Assembly,Make,MECH_LINE,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,50: Mechanical Assembly | 60: Torque Tightening | 70: Final Testing | 80: Packing,Na,1,CHR-TOP-ASM-0001,CHR-TOP-ASM-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,AC Input Cable Assembly,EA,Sub-Assembly,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Cable Tie,1,CHR-ACC-SUB-0001,CHR-TOP-ASM-0001 > CHR-ACC-SUB-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,AC-DC Power Adapter Sub-Assembly,EA,Sub-Assembly,Make,MECH_LINE,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,50: Mechanical Assembly | 60: Torque Tightening | 70: Final Testing | 80: Packing,Na,1,CHR-ADA-SUB-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,Adapter Rating & Safety Label,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ADA-MAT-0003,CHR-TOP-ASM-0001 > CHR-ADA-MAT-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,Burn-In Reliability Test,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-GEN-PRC-0006,CHR-TOP-ASM-0001 > CHR-GEN-PRC-0006,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,DC Output Cable Assembly,EA,Sub-Assembly,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Cable Tie,1,CHR-DCC-SUB-0001,CHR-TOP-ASM-0001 > CHR-DCC-SUB-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,Efficiency Measurement Test,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-GEN-PRC-0004,CHR-TOP-ASM-0001 > CHR-GEN-PRC-0004,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,Hi-Pot Safety Test,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-GEN-PRC-0002,CHR-TOP-ASM-0001 > CHR-GEN-PRC-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,Load Regulation Test,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-GEN-PRC-0003,CHR-TOP-ASM-0001 > CHR-GEN-PRC-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
1,CHR-TOP-ASM-0001,Laptop Charger Assembly,Thermal Soak Test,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-GEN-PRC-0005,CHR-TOP-ASM-0001 > CHR-GEN-PRC-0005,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ACC-SUB-0001,AC Input Cable Assembly,AC Input Cable,EA,Component,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Cable Tie,1,CHR-ACC-CMP-0001,CHR-TOP-ASM-0001 > CHR-ACC-SUB-0001 > CHR-ACC-CMP-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ACC-SUB-0001,AC Input Cable Assembly,AC Plug (Country Specific),EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ACC-MEC-0001,CHR-TOP-ASM-0001 > CHR-ACC-SUB-0001 > CHR-ACC-MEC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ACC-SUB-0001,AC Input Cable Assembly,Strain Relief – AC Side,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ACC-MEC-0002,CHR-TOP-ASM-0001 > CHR-ACC-SUB-0001 > CHR-ACC-MEC-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ADA-MAT-0003,Adapter Rating & Safety Label,Laser Marking / Printing Process,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-ADA-PRC-0001,CHR-TOP-ASM-0001 > CHR-ADA-MAT-0003 > CHR-ADA-PRC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ADA-SUB-0001,AC-DC Power Adapter Sub-Assembly,Adapter Housing – Bottom Shell,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-HSG-MEC-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-HSG-MEC-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ADA-SUB-0001,AC-DC Power Adapter Sub-Assembly,Adapter Housing – Top Shell,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-HSG-MEC-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-HSG-MEC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ADA-SUB-0001,AC-DC Power Adapter Sub-Assembly,Housing Ultrasonic Weld Joint,EA,Process,Make,WELDING_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Jig Setup | 20: Spot Welding | 30: Seam Welding | 40: CMM Inspection,Na,1,CHR-HSG-PRC-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-HSG-PRC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ADA-SUB-0001,AC-DC Power Adapter Sub-Assembly,Internal Electrical Insulation Sheet,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ADA-MAT-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-ADA-MAT-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
