Part Name,Part Type,Quantity,Parent Assembly,Make / Buy,Material,Weight,Standard vs Custom,Fastener Flag
CPU Sub-Assembly,Sub-Assembly,1,Laptop Motherboard Assembly,Make,N/A,0 g,Custom,No
CPU Silicon Die,Electrical,1,CPU Sub-Assembly,Buy,Silicon,6.5 g,Custom,No
CPU Die Passivation Layer,Material,1,CPU Silicon Die,Make,Silicon Nitride,0.05 g,Custom,No
CPU Die Backside Metallization,Material,1,CPU Silicon Die,Make,Titanium / Nickel,0.08 g,Custom,No
CPU Package Organic Substrate,Component,1,CPU Sub-Assembly,Buy,BT Resin,4.2 g,Custom,No
Substrate Core Layer,Material,1,CPU Package Organic Substrate,Make,Glass Fiber,0.8 g,Custom,No
Substrate Copper Layer Top,Material,1,CPU Package Organic Substrate,Make,Copper,0.4 g,Custom,No
Substrate Copper Layer Bottom,Material,1,CPU Package Organic Substrate,Make,Copper,0.4 g,Custom,No
Substrate Solder Mask Top,Material,1,CPU Package Organic Substrate,Make,Epoxy,0.2 g,Custom,No
Substrate Solder Mask Bottom,Material,1,CPU Package Organic Substrate,Make,Epoxy,0.2 g,Custom,No
CPU Solder Bump Array,Material,1,CPU Sub-Assembly,Make,SAC305,1.2 g,Custom,No
CPU Micro Bump 001,Material,1,CPU Solder Bump Array,Make,SAC Alloy,0.01 g,Custom,No
CPU Micro Bump 002,Material,1,CPU Solder Bump Array,Make,SAC Alloy,0.01 g,Custom,No
CPU Micro Bump 003,Material,1,CPU Solder Bump Array,Make,SAC Alloy,0.01 g,Custom,No
CPU Micro Bump 004,Material,1,CPU Solder Bump Array,Make,SAC Alloy,0.01 g,Custom,No
CPU Land Grid Pad Field,Material,1,CPU Sub-Assembly,Make,Gold Plated Copper,0.6 g,Custom,No
Die Attach Adhesive,Material,1,CPU Sub-Assembly,Make,Epoxy,0.7 g,Custom,No
Underfill Adhesive Primary,Material,1,CPU Sub-Assembly,Make,Epoxy,0.6 g,Custom,No
Underfill Adhesive Secondary,Material,1,CPU Sub-Assembly,Make,Epoxy,0.2 g,Custom,No
Integrated Heat Spreader,Mechanical,1,CPU Sub-Assembly,Buy,Nickel Plated Copper,12 g,Custom,No
IHS Nickel Plating,Material,1,Integrated Heat Spreader,Make,Nickel,0.3 g,Custom,No
Thermal Interface Material (Die to IHS),Material,1,CPU Sub-Assembly,Make,Silicone TIM,0.5 g,Custom,No
TIM Dispense Process,Process,1,CPU Sub-Assembly,Make,N/A,0 g,Custom,No
CPU Core Decoupling Capacitor 01,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 02,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 03,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 04,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 05,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 06,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 07,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Core Decoupling Capacitor 08,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU IO Decoupling Capacitor 01,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU IO Decoupling Capacitor 02,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU PLL Decoupling Capacitor 01,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU PLL Decoupling Capacitor 02,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Bulk Capacitor 01,Electrical,1,CPU Sub-Assembly,Buy,Polymer,0.6 g,Standard,No
