Part Name,Part Type,Quantity,Parent Assembly,Make / Buy,Material,Weight,Standard vs Custom,Fastener Flag
Battery Pack Assembly,Sub-Assembly,1,Laptop Main Assembly,Buy,N/A,0 g,Standard,No
Li-Ion Polymer Cell – Cell A,Electrical,1,Battery Pack Assembly,Buy,Li-Ion Polymer,45 g,Standard,No
Li-Ion Polymer Cell – Cell B,Electrical,1,Battery Pack Assembly,Buy,Li-Ion Polymer,45 g,Standard,No
Li-Ion Polymer Cell – Cell C,Electrical,1,Battery Pack Assembly,Buy,Li-Ion Polymer,45 g,Standard,No
Li-Ion Polymer Cell – Cell D,Electrical,1,Battery Pack Assembly,Buy,Li-Ion Polymer,45 g,Optional,No
Positive Nickel Tab – Cell A,Electrical,1,Battery Pack Assembly,Buy,Nickel,0.5 g,Standard,No
Negative Nickel Tab – Cell A,Electrical,1,Battery Pack Assembly,Buy,Nickel,0.5 g,Standard,No
Positive Nickel Tab – Cell B,Electrical,1,Battery Pack Assembly,Buy,Nickel,0.5 g,Standard,No
Negative Nickel Tab – Cell B,Electrical,1,Battery Pack Assembly,Buy,Nickel,0.5 g,Standard,No
Positive Nickel Tab – Cell C,Electrical,1,Battery Pack Assembly,Buy,Nickel,0.5 g,Standard,No
Negative Nickel Tab – Cell C,Electrical,1,Battery Pack Assembly,Buy,Nickel,0.5 g,Standard,No
Cell-to-Cell Series Weld – 1,Process,1,Battery Pack Assembly,Make,N/A,0 g,Standard,No
Cell-to-Cell Series Weld – 2,Process,1,Battery Pack Assembly,Make,N/A,0 g,Standard,No
Cell-to-Cell Series Weld – 3,Process,1,Battery Pack Assembly,Make,N/A,0 g,Standard,No
Battery Management PCB (BMS PCB),Mechanical,1,Battery Pack Assembly,Buy,FR-4,6 g,Custom,No
Fuel Gauge IC,Electrical,1,Battery Pack Assembly,Buy,Silicon,0.3 g,Standard,No
Battery Protection IC,Electrical,1,Battery Pack Assembly,Buy,Silicon,0.3 g,Standard,No
Charge MOSFET,Electrical,1,Battery Pack Assembly,Buy,Silicon,0.4 g,Standard,No
Discharge MOSFET,Electrical,1,Battery Pack Assembly,Buy,Silicon,0.4 g,Standard,No
Current Sense Resistor,Electrical,1,Battery Pack Assembly,Buy,Metal Alloy,0.2 g,Standard,No
SMBus Pull-Up Resistor,Electrical,1,Battery Pack Assembly,Buy,Thick Film,0.02 g,Standard,No
