Part Name,Part Type,Quantity,Parent Assembly,Make / Buy,Material,Weight,Standard vs Custom,Fastener Flag
Wi-Fi / Bluetooth Card Assembly,Sub-Assembly,1,Motherboard Assembly,Buy,N/A,0 g,Standard,No
M.2 2230 RF PCB,Mechanical,1,Wi-Fi / Bluetooth Card Assembly,Buy,FR4,3.5 g,Custom,No
Wi-Fi / BT Combo SoC,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.6 g,Standard,No
RF Front End Module (FEM),Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.3 g,Standard,No
Low Noise Amplifier (LNA),Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.15 g,Standard,No
Power Amplifier (PA),Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,GaAs,0.2 g,Standard,No
Bluetooth RF Transceiver,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.2 g,Standard,No
Power Management IC (PMIC),Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.2 g,Standard,No
Buck Converter IC,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.2 g,Standard,No
LDO Regulator – RF Rail,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.15 g,Standard,No
LDO Regulator – Logic Rail,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.15 g,Standard,No
EEPROM / Flash NVM IC,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.1 g,Standard,No
40 MHz Crystal Oscillator,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Quartz,0.1 g,Standard,No
32 kHz Sleep Crystal,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Quartz,0.05 g,Standard,No
RF Switch IC,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Silicon,0.1 g,Standard,No
Balun Transformer – ANT1,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Ferrite,0.05 g,Standard,No
Balun Transformer – ANT2,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Ferrite,0.05 g,Standard,No
RF Matching Capacitor – ANT1,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,MLCC,0.03 g,Standard,No
RF Matching Capacitor – ANT2,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,MLCC,0.03 g,Standard,No
RF Matching Capacitor – BT,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,MLCC,0.03 g,Standard,No
RF Matching Inductor – ANT1,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Ferrite,0.04 g,Standard,No
RF Matching Inductor – ANT2,Electrical,1,Wi-Fi / Bluetooth Card Assembly,Buy,Ferrite,0.04 g,Standard,No
