Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
Laptop Charger Assembly,Assembly,1,Laptop Accessory,N/A,0 g,Custom,01.01.2019,31.12.9999,5000000011
AC-DC Power Adapter Sub-Assembly,Sub-Assembly,1,Laptop Charger Assembly,N/A,0 g,Custom,15.01.2019,31.12.9999,5000000012
Adapter Housing – Top Shell,Mechanical,1,AC-DC Power Adapter Sub-Assembly,PC+ABS FR,85 g,Custom,01.02.2019,31.12.9999,5000000013
Adapter Housing – Bottom Shell,Mechanical,1,AC-DC Power Adapter Sub-Assembly,PC+ABS FR,85 g,Custom,19.02.2019,31.12.9999,5000000014
Housing Internal Rib Structure,Mechanical,1,Adapter Housing – Bottom Shell,PC+ABS FR,12 g,Custom,05.03.2019,31.12.9999,5000000015
Housing Flame Retardant System,Material,1,Adapter Housing – Top Shell,Brominated FR,0 g,Standard,20.03.2019,31.12.9999,5000000016
Housing Ultrasonic Weld Joint,Process,1,AC-DC Power Adapter Sub-Assembly,N/A,0 g,Custom,01.04.2019,31.12.9999,5000000017
Power PCB Assembly,Sub-Assembly,1,AC-DC Power Adapter Sub-Assembly,N/A,0 g,Custom,15.04.2019,31.12.9999,5000000018
Power PCB Bare Board,Component,1,Power PCB Assembly,FR-4,45 g,Custom,01.05.2019,31.12.9999,5000000019
PCB Glass Epoxy Core,Material,1,Power PCB Bare Board,FR-4,22 g,Custom,20.05.2019,31.12.9999,5000000020
PCB Copper Layer – Top,Material,1,Power PCB Bare Board,Copper,6 g,Custom,01.06.2019,31.12.9999,5000000021
PCB Copper Layer – Inner 1,Material,1,Power PCB Bare Board,Copper,5 g,Custom,15.06.2019,31.12.9999,5000000022
PCB Copper Layer – Inner 2,Material,1,Power PCB Bare Board,Copper,5 g,Custom,01.07.2019,31.12.9999,5000000023
PCB Copper Layer – Bottom,Material,1,Power PCB Bare Board,Copper,6 g,Custom,12.07.2019,31.12.9999,5000000024
PCB Prepreg Layer,Material,1,Power PCB Bare Board,Epoxy Glass,1.5 g,Custom,25.07.2019,31.12.9999,5000000025
PCB Solder Mask – Top,Material,1,Power PCB Bare Board,Epoxy,0 g,Custom,01.08.2019,31.12.9999,5000000026
PCB Solder Mask – Bottom,Material,1,Power PCB Bare Board,Epoxy,0 g,Custom,15.08.2019,31.12.9999,5000000027
PCB Silkscreen Ink,Material,1,Power PCB Bare Board,Epoxy Ink,0 g,Custom,01.09.2019,31.12.9999,5000000028
PCB ENIG Finish,Process,1,Power PCB Bare Board,ENIG,0 g,Custom,20.09.2019,31.12.9999,5000000029
AC Input Fuse,Electrical,1,Power PCB Assembly,Ceramic,1.2 g,Standard,01.10.2019,31.12.9999,5000000030
Fuse Heat Shrink Sleeve,Material,1,AC Input Fuse,Polyolefin,0.1 g,Standard,15.10.2019,31.12.9999,5000000031
MOV Surge Suppressor,Electrical,1,Power PCB Assembly,Zinc Oxide,2.5 g,Standard,01.11.2019,31.12.9999,5000000032
MOV Insulation Sleeve,Material,1,MOV Surge Suppressor,Silicone,0.2 g,Standard,15.11.2019,31.12.9999,5000000033
NTC Inrush Current Limiter,Electrical,1,Power PCB Assembly,Ceramic,1.8 g,Standard,01.12.2019,31.12.9999,5000000034
EMI Common Mode Choke,Electrical,1,Power PCB Assembly,Ferrite,6 g,Standard,15.12.2019,31.12.9999,5000000035
EMI Differential Mode Inductor,Electrical,1,Power PCB Assembly,Ferrite,4 g,Standard,01.01.2020,31.12.9999,5000000036
EMI X-Class Capacitor,Electrical,1,Power PCB Assembly,Polypropylene,2.2 g,Standard,15.01.2020,31.12.9999,5000000037
EMI Y-Class Capacitor – Line to GND,Electrical,1,Power PCB Assembly,Ceramic,0.8 g,Standard,01.02.2020,31.12.9999,5000000038
EMI Y-Class Capacitor – Neutral to GND,Electrical,1,Power PCB Assembly,Ceramic,0.8 g,Standard,20.02.2020,31.12.9999,5000000039
Bridge Rectifier,Electrical,1,Power PCB Assembly,Silicon,3.5 g,Standard,01.03.2020,31.12.9999,5000000040
Bridge Rectifier Heatslug,Mechanical,1,Bridge Rectifier,Copper,1.1 g,Standard,15.03.2020,31.12.9999,5000000041
Primary Bulk Capacitor,Electrical,1,Power PCB Assembly,Aluminum Electrolytic,18 g,Standard,01.04.2020,31.12.9999,5000000042
