Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
Internal Cable Harness Assembly,Sub-Assembly,1,Laptop Main Assembly,N/A,0 g,Standard,01.01.2019,31.12.9999,5000000011
Main Harness Trunk Cable,Electrical,1,Internal Cable Harness Assembly,Copper + PVC,12 g,Custom,15.01.2019,31.12.9999,5000000012
Display eDP Cable,Electrical,1,Internal Cable Harness Assembly,Copper + PET,8 g,Custom,01.02.2019,31.12.9999,5000000013
Display eDP Connector – Motherboard Side,Electrical,1,Internal Cable Harness Assembly,Nylon + Copper,0.6 g,Standard,19.02.2019,31.12.9999,5000000014
Display eDP Connector – Panel Side,Electrical,1,Internal Cable Harness Assembly,Nylon + Copper,0.6 g,Standard,05.03.2019,31.12.9999,5000000015
Display Cable EMI Foil Wrap,Material,1,Internal Cable Harness Assembly,Aluminum Foil,1.2 g,Standard,20.03.2019,31.12.9999,5000000016
Display Cable Ground Drain Wire,Electrical,1,Internal Cable Harness Assembly,Copper,0.4 g,Standard,01.04.2019,31.12.9999,5000000017
Battery Power Cable – Red,Electrical,1,Internal Cable Harness Assembly,Copper + PVC,1.2 g,Standard,15.04.2019,31.12.9999,5000000018
Battery Power Cable – Black,Electrical,1,Internal Cable Harness Assembly,Copper + PVC,1.2 g,Standard,01.05.2019,31.12.9999,5000000019
Battery Connector – Motherboard Side,Electrical,1,Internal Cable Harness Assembly,Nylon + Copper,0.5 g,Standard,20.05.2019,31.12.9999,5000000020
Speaker Cable – Left Channel,Electrical,1,Internal Cable Harness Assembly,Copper + PVC,0.6 g,Standard,01.06.2019,31.12.9999,5000000021
Speaker Cable – Right Channel,Electrical,1,Internal Cable Harness Assembly,Copper + PVC,0.6 g,Standard,15.06.2019,31.12.9999,5000000022
Speaker Connector – Motherboard Side,Electrical,1,Internal Cable Harness Assembly,Nylon + Copper,0.4 g,Standard,01.07.2019,31.12.9999,5000000023
Keyboard FPC Cable,Electrical,1,Internal Cable Harness Assembly,Polyimide + Copper,1.5 g,Custom,12.07.2019,31.12.9999,5000000024
Keyboard FPC Connector,Electrical,1,Internal Cable Harness Assembly,Nylon + Copper,0.3 g,Standard,25.07.2019,31.12.9999,5000000025
Touchpad FPC Cable,Electrical,1,Internal Cable Harness Assembly,Polyimide + Copper,1.2 g,Custom,01.08.2019,31.12.9999,5000000026
