Part Name,Part Type,Quantity,Parent Assembly,,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
Keyboard Sub-Assembly,Sub-Assembly,1,Laptop Top Case Assembly,,N/A,0 g,Custom,01.01.2019,31.12.9999,5000000011
Keyboard Metal Back Plate,Mechanical,1,Keyboard Sub-Assembly,,Aluminum,85 g,Custom,15.01.2019,31.12.9999,5000000012
Keyboard Plastic Frame,Mechanical,1,Keyboard Sub-Assembly,,PC+ABS,28 g,Custom,01.02.2019,31.12.9999,5000000013
Keyboard Alignment Bracket – Left,Mechanical,1,Keyboard Sub-Assembly,,Stainless Steel,2 g,Custom,19.02.2019,31.12.9999,5000000014
Keyboard Alignment Bracket – Right,Mechanical,1,Keyboard Sub-Assembly,,Stainless Steel,2 g,Custom,05.03.2019,31.12.9999,5000000015
Keycap – A,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,20.03.2019,31.12.9999,5000000016
Keycap – B,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,01.04.2019,31.12.9999,5000000017
Keycap – C,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,15.04.2019,31.12.9999,5000000018
Keycap – D,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,01.05.2019,31.12.9999,5000000019
Keycap – E,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,20.05.2019,31.12.9999,5000000020
Keycap – F,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,01.06.2019,31.12.9999,5000000021
Keycap – G,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,15.06.2019,31.12.9999,5000000022
Keycap – H,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,01.07.2019,31.12.9999,5000000023
Keycap – I,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,12.07.2019,31.12.9999,5000000024
Keycap – J,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,25.07.2019,31.12.9999,5000000025
Keycap – K,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,01.08.2019,31.12.9999,5000000026
Keycap – L,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom,15.08.2019,31.12.9999,5000000027
Keycap – Enter,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,1.8 g,Custom,01.09.2019,31.12.9999,5000000028
Keycap – Spacebar,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,2.5 g,Custom,20.09.2019,31.12.9999,5000000029
Keycap – Backspace,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,1.2 g,Custom,01.10.2019,31.12.9999,5000000030
