Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
Thermal Module Assembly,Sub-Assembly,1,Motherboard Assembly,N/A,0 g,Standard,01.01.2019,31.12.9999,5000000011
CPU Cold Plate – Base,Mechanical,1,Thermal Module Assembly,Copper,16 g,Custom,15.01.2019,31.12.9999,5000000012
CPU Cold Plate – Nickel Plating,Process,1,CPU Cold Plate – Base,Nickel,0 g,Standard,01.02.2019,31.12.9999,5000000013
CPU Cold Plate Flatness Machining,Process,1,CPU Cold Plate – Base,N/A,0 g,Standard,19.02.2019,31.12.9999,5000000014
Primary Heatpipe – Outer Tube,Mechanical,1,Thermal Module Assembly,Copper,9 g,Custom,05.03.2019,31.12.9999,5000000015
Primary Heatpipe – Wick Structure,Material,1,Primary Heatpipe – Outer Tube,Sintered Copper,0 g,Standard,20.03.2019,31.12.9999,5000000016
Primary Heatpipe – Working Fluid,Material,1,Primary Heatpipe – Outer Tube,Deionized Water,0 g,Standard,01.04.2019,31.12.9999,5000000017
Heatpipe Vacuum Charging,Process,1,Primary Heatpipe – Outer Tube,N/A,0 g,Standard,15.04.2019,31.12.9999,5000000018
Heatpipe End Cap – CPU Side,Mechanical,1,Primary Heatpipe – Outer Tube,Copper,0.2 g,Standard,01.05.2019,31.12.9999,5000000019
Heatpipe End Cap – Fin Side,Mechanical,1,Primary Heatpipe – Outer Tube,Copper,0.2 g,Standard,20.05.2019,31.12.9999,5000000020
Heatpipe Leak Test,Process,1,Primary Heatpipe – Outer Tube,N/A,0 g,Standard,01.06.2019,31.12.9999,5000000021
Heatsink Fin – Aluminum #1,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,15.06.2019,31.12.9999,5000000022
Heatsink Fin – Aluminum #2,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,01.07.2019,31.12.9999,5000000023
Heatsink Fin – Aluminum #3,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,12.07.2019,31.12.9999,5000000024
Heatsink Fin – Aluminum #4,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,25.07.2019,31.12.9999,5000000025
Heatsink Fin – Aluminum #5,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,01.08.2019,31.12.9999,5000000026
Heatsink Fin – Aluminum #6,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,15.08.2019,31.12.9999,5000000027
Heatsink Fin – Aluminum #7,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,01.09.2019,31.12.9999,5000000028
Heatsink Fin – Aluminum #8,Mechanical,1,Thermal Module Assembly,Aluminum,1.2 g,Custom,20.09.2019,31.12.9999,5000000029
Heatsink Fin Spacer,Mechanical,1,Thermal Module Assembly,Aluminum,2 g,Standard,01.10.2019,31.12.9999,5000000030
Fin Stack Alignment Jig,Process,1,Heatsink Fin Stack,N/A,0 g,Standard,15.10.2019,31.12.9999,5000000031
Fin Stack Brazing Alloy,Material,1,Heatsink Fin Stack,Aluminum Alloy,0 g,Standard,01.11.2019,31.12.9999,5000000032
Fin Stack Brazing Process,Process,1,Heatsink Fin Stack,N/A,0 g,Standard,15.11.2019,31.12.9999,5000000033
Heatpipe to Cold Plate Solder Layer,Material,1,Thermal Module Assembly,Solder Alloy,0 g,Standard,01.12.2019,31.12.9999,5000000034
