Part Name,Part Type,Quantity,Parent Assembly,,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
Touchpad Sub-Assembly,Sub-Assembly,1,Laptop Top Case Assembly,,N/A,0 g,Custom,01.01.2019,31.12.9999,5000000011
Touchpad Cover Glass,Mechanical,1,Touchpad Sub-Assembly,,Chemically Strengthened Glass,22 g,Custom,15.01.2019,31.12.9999,5000000012
Glass Edge Chamfer Process,Process,1,Touchpad Cover Glass,,N/A,0 g,Custom,01.02.2019,31.12.9999,5000000013
Oleophobic Coating Layer,Material,1,Touchpad Cover Glass,,Fluoropolymer,0.2 g,Custom,19.02.2019,31.12.9999,5000000014
Anti-Fingerprint Coating,Material,1,Touchpad Cover Glass,,Nano Coating,0.1 g,Custom,05.03.2019,31.12.9999,5000000015
Touchpad Sensor Film,Component,1,Touchpad Sub-Assembly,,PET / ITO,6 g,Custom,20.03.2019,31.12.9999,5000000016
ITO Capacitive X-Axis Layer,Material,1,Touchpad Sensor Film,,Indium Tin Oxide,0.8 g,Custom,01.04.2019,31.12.9999,5000000017
ITO Capacitive Y-Axis Layer,Material,1,Touchpad Sensor Film,,Indium Tin Oxide,0.8 g,Custom,15.04.2019,31.12.9999,5000000018
Dielectric Spacer Film,Material,1,Touchpad Sensor Film,,PET,0.6 g,Custom,01.05.2019,31.12.9999,5000000019
Optical Bonding Adhesive,Material,1,Touchpad Sub-Assembly,,OCA,0.7 g,Custom,20.05.2019,31.12.9999,5000000020
Touchpad Controller IC,Electrical,1,Touchpad PCB Assembly,,Silicon,0.3 g,Standard,01.06.2019,31.12.9999,5000000021
Touchpad Firmware Flash IC,Electrical,1,Touchpad PCB Assembly,,Silicon,0.2 g,Standard,15.06.2019,31.12.9999,5000000022
ESD Protection Diode – D1,Electrical,1,Touchpad PCB Assembly,,Silicon,0.05 g,Standard,01.07.2019,31.12.9999,5000000023
ESD Protection Diode – D2,Electrical,1,Touchpad PCB Assembly,,Silicon,0.05 g,Standard,12.07.2019,31.12.9999,5000000024
Pull-up Resistor – R1,Electrical,1,Touchpad PCB Assembly,,Thick Film,0.01 g,Standard,25.07.2019,31.12.9999,5000000025
