Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
Top Cover / A-Cover Assembly,Sub-Assembly,1,Laptop Assembly,N/A,0 g,Custom,01.01.2019,31.12.9999,5000000011
A-Cover Outer Shell,Mechanical,1,Top Cover / A-Cover Assembly,Aluminum / PC+ABS,280 g,Custom,15.01.2019,31.12.9999,5000000012
A-Cover Inner Reinforcement Plate,Mechanical,1,Top Cover / A-Cover Assembly,Magnesium Alloy,95 g,Custom,01.02.2019,31.12.9999,5000000013
A-Cover Structural Rib Feature,Mechanical,1,A-Cover Outer Shell,Aluminum / Plastic,0 g,Custom,19.02.2019,31.12.9999,5000000014
Logo Badge,Mechanical,1,Top Cover / A-Cover Assembly,Aluminum,5 g,Custom,05.03.2019,31.12.9999,5000000015
Logo Adhesive Layer,Material,1,Logo Badge,Acrylic Adhesive,0.5 g,Standard,20.03.2019,31.12.9999,5000000016
Decorative Surface Coating,Process,1,A-Cover Outer Shell,Anodized / Paint,0 g,Custom,01.04.2019,31.12.9999,5000000017
Anodization Layer,Process,1,A-Cover Outer Shell,Oxide Coating,0 g,Custom,15.04.2019,31.12.9999,5000000018
Cosmetic Paint Layer,Process,1,A-Cover Outer Shell,PU Paint,0 g,Custom,01.05.2019,31.12.9999,5000000019
Scratch-Resistant Clear Coat,Process,1,A-Cover Outer Shell,Polymer Coating,0 g,Custom,20.05.2019,31.12.9999,5000000020
LCD Panel Mounting Bracket – Left,Mechanical,1,Top Cover / A-Cover Assembly,Steel,18 g,Custom,01.06.2019,31.12.9999,5000000021
LCD Panel Mounting Bracket – Right,Mechanical,1,Top Cover / A-Cover Assembly,Steel,18 g,Custom,15.06.2019,31.12.9999,5000000022
Camera Module Mount Bracket,Mechanical,1,Top Cover / A-Cover Assembly,PC+ABS,6 g,Custom,01.07.2019,31.12.9999,5000000023
Camera Bracket Adhesive,Material,1,Camera Module Mount Bracket,Acrylic Foam,0.4 g,Standard,12.07.2019,31.12.9999,5000000024
Microphone Holder,Mechanical,1,Top Cover / A-Cover Assembly,Rubber,2 g,Custom,25.07.2019,31.12.9999,5000000025
Antenna Mounting Channel,Mechanical,1,Top Cover / A-Cover Assembly,PC+ABS,4 g,Custom,01.08.2019,31.12.9999,5000000026
Left Wi-Fi Antenna,Electrical,1,Top Cover / A-Cover Assembly,Copper,6 g,Standard,15.08.2019,31.12.9999,5000000027
Right Wi-Fi Antenna,Electrical,1,Top Cover / A-Cover Assembly,Copper,6 g,Standard,01.09.2019,31.12.9999,5000000028
Antenna Adhesive Tape,Material,1,Wi-Fi Antenna,Acrylic Tape,0.6 g,Standard,20.09.2019,31.12.9999,5000000029
Antenna Grounding Foil,Material,1,Wi-Fi Antenna,Copper Foil,1 g,Standard,01.10.2019,31.12.9999,5000000030
Camera to Motherboard FPC,Component,1,Top Cover / A-Cover Assembly,Polyimide,3 g,Standard,15.10.2019,31.12.9999,5000000031
Microphone FPC Cable,Component,1,Top Cover / A-Cover Assembly,Polyimide,2 g,Standard,01.11.2019,31.12.9999,5000000032
Antenna RF Cable – Left,Component,1,Top Cover / A-Cover Assembly,Coaxial Copper,5 g,Standard,15.11.2019,31.12.9999,5000000033
Antenna RF Cable – Right,Component,1,Top Cover / A-Cover Assembly,Coaxial Copper,5 g,Standard,01.12.2019,31.12.9999,5000000034
Cable Routing Clip – 1,Mechanical,1,Top Cover / A-Cover Assembly,Nylon,1 g,Standard,15.12.2019,31.12.9999,5000000035
Cable Routing Clip – 2,Mechanical,1,Top Cover / A-Cover Assembly,Nylon,1 g,Standard,01.01.2020,31.12.9999,5000000036
Cable Routing Clip – 3,Mechanical,1,Top Cover / A-Cover Assembly,Nylon,1 g,Standard,15.01.2020,31.12.9999,5000000037
EMI Shielding Foil,Material,1,Top Cover / A-Cover Assembly,Aluminum Foil,8 g,Standard,01.02.2020,31.12.9999,5000000038
EMI Grounding Spring – Left,Mechanical,1,Top Cover / A-Cover Assembly,Stainless Steel,1.5 g,Standard,20.02.2020,31.12.9999,5000000039
EMI Grounding Spring – Right,Mechanical,1,Top Cover / A-Cover Assembly,Stainless Steel,1.5 g,Standard,01.03.2020,31.12.9999,5000000040
Foam Spacer – LCD Edge,Material,1,Top Cover / A-Cover Assembly,PU Foam,4 g,Standard,15.03.2020,31.12.9999,5000000041
Foam Spacer – Camera Area,Material,1,Top Cover / A-Cover Assembly,PU Foam,2 g,Standard,01.04.2020,31.12.9999,5000000042
Shock Absorption Pad,Material,1,Top Cover / A-Cover Assembly,Silicone,3 g,Standard,15.04.2020,31.12.9999,5000000043
Display Alignment Pin – Left,Mechanical,1,Top Cover / A-Cover Assembly,Plastic,1 g,Custom,01.05.2020,31.12.9999,5000000044
Display Alignment Pin – Right,Mechanical,1,Top Cover / A-Cover Assembly,Plastic,1 g,Custom,20.05.2020,31.12.9999,5000000045
Hinge Mount Boss – Left,Mechanical,1,A-Cover Outer Shell,Aluminum / Plastic,0 g,Custom,01.06.2020,31.12.9999,5000000046
Hinge Mount Boss – Right,Mechanical,1,A-Cover Outer Shell,Aluminum / Plastic,0 g,Custom,15.06.2020,31.12.9999,5000000047
A-Cover Structural Adhesive,Material,1,Top Cover / A-Cover Assembly,Epoxy,1 g,Standard,01.07.2020,31.12.9999,5000000048
Protective Film – Outer Surface,Material,1,Top Cover / A-Cover Assembly,PET,6 g,Standard,20.07.2020,31.12.9999,5000000049
Laser Marking – Logo Area,Process,1,Top Cover / A-Cover Assembly,N/A,0 g,Custom,01.08.2020,31.12.9999,5000000050
Visual Inspection Process,Process,1,Top Cover / A-Cover Assembly,N/A,0 g,Standard,15.08.2020,31.12.9999,5000000051
Drop Test Validation,Process,1,Top Cover / A-Cover Assembly,N/A,0 g,Custom,01.09.2020,31.12.9999,5000000052
