Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom
Cooling Fan Sub-Assembly,Sub-Assembly,1,Laptop Thermal Module,N/A,0 g,Custom
Fan Upper Housing,Mechanical,1,Cooling Fan Sub-Assembly,PC+ABS,17 g,Custom
Fan Lower Housing,Mechanical,1,Cooling Fan Sub-Assembly,PC+ABS,15 g,Custom
Fan Inlet Ring,Mechanical,1,Cooling Fan Sub-Assembly,PC+ABS,4 g,Custom
Fan Outlet Duct,Mechanical,1,Cooling Fan Sub-Assembly,PC+ABS,6 g,Custom
Impeller Wheel,Mechanical,1,Cooling Fan Sub-Assembly,Glass-Filled PBT,11 g,Custom
Impeller Hub Insert,Mechanical,1,Impeller Wheel,Steel,0.8 g,Custom
Dynamic Balance Weight,Mechanical,1,Impeller Wheel,Steel,0.25 g,Custom
Brushless DC Motor Assembly,Sub-Assembly,1,Cooling Fan Sub-Assembly,N/A,0 g,Custom
Rotor Permanent Magnet,Electrical,1,Brushless DC Motor Assembly,NdFeB,3.5 g,Standard
Rotor Shaft,Mechanical,1,Brushless DC Motor Assembly,Stainless Steel,1.8 g,Custom
Shaft Surface Polishing Process,Process,1,Rotor Shaft,N/A,0 g,Custom
Upper Sleeve Bearing,Mechanical,1,Brushless DC Motor Assembly,Oil-Impregnated Bronze,1.1 g,Standard
Lower Sleeve Bearing,Mechanical,1,Brushless DC Motor Assembly,Oil-Impregnated Bronze,1.1 g,Standard
Bearing Lubrication Oil,Material,1,Brushless DC Motor Assembly,Synthetic Oil,0.2 g,Standard
Bearing Retainer Washer,Mechanical,1,Brushless DC Motor Assembly,Spring Steel,0.15 g,Standard
Stator Core Lamination,Electrical,1,Brushless DC Motor Assembly,Silicon Steel,4.8 g,Custom
Copper Winding – Phase A,Electrical,1,Brushless DC Motor Assembly,Enameled Copper,2.1 g,Custom
Copper Winding – Phase B,Electrical,1,Brushless DC Motor Assembly,Enameled Copper,2.1 g,Custom
Copper Winding – Phase C,Electrical,1,Brushless DC Motor Assembly,Enameled Copper,2.1 g,Custom
