Part Name,Part Type,Quantity,Parent Assembly,,Material,Weight,Standard vs Custom
CPU Sub-Assembly,Sub-Assembly,1,Laptop Motherboard Assembly,,N/A,0 g,Custom
CPU Silicon Die,Electrical,1,CPU Sub-Assembly,,Silicon,6.5 g,Custom
CPU Die Passivation Layer,Material,1,CPU Silicon Die,,Silicon Nitride,0.05 g,Custom
CPU Die Backside Metallization,Material,1,CPU Silicon Die,,Titanium / Nickel,0.08 g,Custom
CPU Package Organic Substrate,Component,1,CPU Sub-Assembly,,BT Resin,4.2 g,Custom
Substrate Core Layer,Material,1,CPU Package Organic Substrate,,Glass Fiber,0.8 g,Custom
Substrate Copper Layer Top,Material,1,CPU Package Organic Substrate,,Copper,0.4 g,Custom
Substrate Copper Layer Bottom,Material,1,CPU Package Organic Substrate,,Copper,0.4 g,Custom
Substrate Solder Mask Top,Material,1,CPU Package Organic Substrate,,Epoxy,0.2 g,Custom
Substrate Solder Mask Bottom,Material,1,CPU Package Organic Substrate,,Epoxy,0.2 g,Custom
CPU Solder Bump Array,Material,1,CPU Sub-Assembly,,SAC305,1.2 g,Custom
CPU Micro Bump 001,Material,1,CPU Solder Bump Array,,SAC Alloy,0.01 g,Custom
CPU Micro Bump 002,Material,1,CPU Solder Bump Array,,SAC Alloy,0.01 g,Custom
CPU Micro Bump 003,Material,1,CPU Solder Bump Array,,SAC Alloy,0.01 g,Custom
CPU Micro Bump 004,Material,1,CPU Solder Bump Array,,SAC Alloy,0.01 g,Custom
CPU Land Grid Pad Field,Material,1,CPU Sub-Assembly,,Gold Plated Copper,0.6 g,Custom
Die Attach Adhesive,Material,1,CPU Sub-Assembly,,Epoxy,0.7 g,Custom
Underfill Adhesive Primary,Material,1,CPU Sub-Assembly,,Epoxy,0.6 g,Custom
Underfill Adhesive Secondary,Material,1,CPU Sub-Assembly,,Epoxy,0.2 g,Custom
Integrated Heat Spreader,Mechanical,1,CPU Sub-Assembly,,Nickel Plated Copper,12 g,Custom
IHS Nickel Plating,Material,1,Integrated Heat Spreader,,Nickel,0.3 g,Custom
Thermal Interface Material (Die to IHS),Material,1,CPU Sub-Assembly,,Silicone TIM,0.5 g,Custom
