Part Name,Part Type,Quantity,Parent Assembly,,Material,Weight,Standard vs Custom
Keyboard Sub-Assembly,Sub-Assembly,1,Laptop Top Case Assembly,,N/A,0 g,Custom
Keyboard Metal Back Plate,Mechanical,1,Keyboard Sub-Assembly,,Aluminum,85 g,Custom
Keyboard Plastic Frame,Mechanical,1,Keyboard Sub-Assembly,,PC+ABS,28 g,Custom
Keyboard Alignment Bracket – Left,Mechanical,1,Keyboard Sub-Assembly,,Stainless Steel,2 g,Custom
Keyboard Alignment Bracket – Right,Mechanical,1,Keyboard Sub-Assembly,,Stainless Steel,2 g,Custom
Keycap – A,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – B,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – C,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – D,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – E,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – F,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – G,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – H,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – I,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – J,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – K,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – L,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,0.4 g,Custom
Keycap – Enter,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,1.8 g,Custom
Keycap – Spacebar,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,2.5 g,Custom
Keycap – Backspace,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,1.2 g,Custom
Keycap – Shift Left,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,1.4 g,Custom
Keycap – Shift Right,Mechanical,1,Keyboard Sub-Assembly,,ABS Plastic,1.4 g,Custom
Scissor Switch – Key 01,Mechanical,1,Keyboard Sub-Assembly,,POM,0.25 g,Custom
Scissor Switch – Key 02,Mechanical,1,Keyboard Sub-Assembly,,POM,0.25 g,Custom
Scissor Switch – Key 03,Mechanical,1,Keyboard Sub-Assembly,,POM,0.25 g,Custom
Scissor Switch – Key 04,Mechanical,1,Keyboard Sub-Assembly,,POM,0.25 g,Custom
Scissor Switch – Key 05,Mechanical,1,Keyboard Sub-Assembly,,POM,0.25 g,Custom
Rubber Dome – Key 01,Material,1,Keyboard Sub-Assembly,,Silicone Rubber,0.15 g,Custom
Rubber Dome – Key 02,Material,1,Keyboard Sub-Assembly,,Silicone Rubber,0.15 g,Custom
Rubber Dome – Key 03,Material,1,Keyboard Sub-Assembly,,Silicone Rubber,0.15 g,Custom
Rubber Dome – Key 04,Material,1,Keyboard Sub-Assembly,,Silicone Rubber,0.15 g,Custom
Rubber Dome – Key 05,Material,1,Keyboard Sub-Assembly,,Silicone Rubber,0.15 g,Custom
