Part Name,Part Type,Quantity,Parent Assembly,,Material,Weight,Standard vs Custom
M2.5×6 Bottom Cover Screw – 1,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 2,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 3,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 4,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 5,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 6,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 7,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 8,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 9,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2.5×6 Bottom Cover Screw – 10,Fastener,1,Bottom Cover Assembly,,Carbon Steel,0.35 g,Standard
M2×4 Motherboard Mount Screw – 1,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
M2×4 Motherboard Mount Screw – 2,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
M2×4 Motherboard Mount Screw – 3,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
M2×4 Motherboard Mount Screw – 4,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
M2×4 Motherboard Mount Screw – 5,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
M2×4 Motherboard Mount Screw – 6,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
M2×4 Motherboard Mount Screw – 7,Fastener,1,Motherboard Assembly,,Carbon Steel,0.22 g,Standard
