Part Name,Part Type,Quantity,Parent Assembly,,Material,Weight,Standard vs Custom
Wi-Fi Card Sub-Assembly,Sub-Assembly,1,Laptop Motherboard,,N/A,0 g,Custom
Wi-Fi PCB Assembly,Sub-Assembly,1,Wi-Fi Card Sub-Assembly,,N/A,0 g,Custom
Wi-Fi PCB Bare Board,Component,1,Wi-Fi PCB Assembly,,FR-4,2.2 g,Custom
PCB Copper Layer – Top,Material,1,Wi-Fi PCB Bare Board,,Copper,0.3 g,Custom
PCB Copper Layer – Inner 1,Material,1,Wi-Fi PCB Bare Board,,Copper,0.25 g,Custom
PCB Copper Layer – Inner 2,Material,1,Wi-Fi PCB Bare Board,,Copper,0.25 g,Custom
PCB Copper Layer – Bottom,Material,1,Wi-Fi PCB Bare Board,,Copper,0.3 g,Custom
PCB Solder Mask,Material,1,Wi-Fi PCB Bare Board,,Epoxy,0 g,Custom
PCB Silkscreen,Material,1,Wi-Fi PCB Bare Board,,Ink,0 g,Custom
PCB Surface Finish,Process,1,Wi-Fi PCB Bare Board,,ENIG,0 g,Custom
Wi-Fi / Bluetooth Combo SoC,Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.22 g,Standard
RF Front-End Module,Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.18 g,Standard
Power Management IC (PMIC),Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.12 g,Standard
Serial Flash Memory,Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.08 g,Standard
Crystal Oscillator – Main,Electrical,1,Wi-Fi PCB Assembly,,Quartz,0.05 g,Standard
Crystal Oscillator – Bluetooth,Electrical,1,Wi-Fi PCB Assembly,,Quartz,0.04 g,Standard
RF Switch IC,Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.06 g,Standard
Low Noise Amplifier (LNA),Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.05 g,Standard
Power Amplifier (PA),Electrical,1,Wi-Fi PCB Assembly,,Silicon,0.07 g,Standard
