Part Name,Part Type,Quantity,Parent Assembly,Make / Buy,Material,Weight,Standard vs Custom,Fastener Flag
Laptop Motherboard Assembly,Assembly,1,Laptop,Make,FR4 / Mixed,180 g,Custom,No
Motherboard PCB,Component,1,Laptop Motherboard Assembly,Make,FR4,120 g,Custom,No
PCB Solder Mask,Material,1,Motherboard PCB,Make,Epoxy,2 g,Custom,No
PCB Silkscreen,Material,1,Motherboard PCB,Make,Epoxy Ink,1 g,Custom,No
CPU Sub-Assembly,Sub-Assembly,1,Laptop Motherboard Assembly,Make,N/A,0 g,Custom,No
CPU SoC,Electrical,1,CPU Sub-Assembly,Buy,Silicon,15 g,Custom,No
CPU Underfill Adhesive,Material,1,CPU Sub-Assembly,Make,Epoxy,1 g,Custom,No
CPU Decoupling Capacitor 01,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 02,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 03,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 04,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 05,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 06,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 07,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Decoupling Capacitor 08,Electrical,1,CPU Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
CPU Series Resistor 01,Electrical,1,CPU Sub-Assembly,Buy,Thick Film,0.01 g,Standard,No
CPU Series Resistor 02,Electrical,1,CPU Sub-Assembly,Buy,Thick Film,0.01 g,Standard,No
CPU Series Resistor 03,Electrical,1,CPU Sub-Assembly,Buy,Thick Film,0.01 g,Standard,No
CPU Series Resistor 04,Electrical,1,CPU Sub-Assembly,Buy,Thick Film,0.01 g,Standard,No
Memory Sub-Assembly,Sub-Assembly,1,Laptop Motherboard Assembly,Make,N/A,0 g,Custom,No
LPDDR IC 01,Electrical,1,Memory Sub-Assembly,Buy,Silicon,2 g,Custom,No
LPDDR IC 02,Electrical,1,Memory Sub-Assembly,Buy,Silicon,2 g,Custom,No
LPDDR IC 03,Electrical,1,Memory Sub-Assembly,Buy,Silicon,2 g,Custom,No
LPDDR IC 04,Electrical,1,Memory Sub-Assembly,Buy,Silicon,2 g,Custom,No
Memory Decoupling Capacitor 01,Electrical,1,Memory Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
Memory Decoupling Capacitor 02,Electrical,1,Memory Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
Memory Decoupling Capacitor 03,Electrical,1,Memory Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
Memory Decoupling Capacitor 04,Electrical,1,Memory Sub-Assembly,Buy,Ceramic,0.02 g,Standard,No
Memory Termination Resistor 01,Electrical,1,Memory Sub-Assembly,Buy,Thick Film,0.01 g,Standard,No
Memory Termination Resistor 02,Electrical,1,Memory Sub-Assembly,Buy,Thick Film,0.01 g,Standard,No
Power Delivery Sub-Assembly,Sub-Assembly,1,Laptop Motherboard Assembly,Make,N/A,0 g,Custom,No
VRM Controller IC,Electrical,1,Power Delivery Sub-Assembly,Buy,Silicon,1 g,Custom,No
High-Side MOSFET 01,Electrical,1,Power Delivery Sub-Assembly,Buy,Silicon,1 g,Standard,No
High-Side MOSFET 02,Electrical,1,Power Delivery Sub-Assembly,Buy,Silicon,1 g,Standard,No
Low-Side MOSFET 01,Electrical,1,Power Delivery Sub-Assembly,Buy,Silicon,1 g,Standard,No
Low-Side MOSFET 02,Electrical,1,Power Delivery Sub-Assembly,Buy,Silicon,1 g,Standard,No
Inductor 01,Electrical,1,Power Delivery Sub-Assembly,Buy,Ferrite,2 g,Standard,No
Inductor 02,Electrical,1,Power Delivery Sub-Assembly,Buy,Ferrite,2 g,Standard,No
Bulk Capacitor 01,Electrical,1,Power Delivery Sub-Assembly,Buy,Polymer,1 g,Standard,No
Bulk Capacitor 02,Electrical,1,Power Delivery Sub-Assembly,Buy,Polymer,1 g,Standard,No
Bulk Capacitor 03,Electrical,1,Power Delivery Sub-Assembly,Buy,Polymer,1 g,Standard,No
BIOS Flash IC,Electrical,1,Laptop Motherboard Assembly,Buy,Silicon,0.5 g,Standard,No
Embedded Controller IC,Electrical,1,Laptop Motherboard Assembly,Buy,Silicon,1 g,Custom,No
32 kHz Crystal,Electrical,1,Laptop Motherboard Assembly,Buy,Quartz,0.2 g,Standard,No
25 MHz Crystal,Electrical,1,Laptop Motherboard Assembly,Buy,Quartz,0.2 g,Standard,No
USB-C Connector 01,Component,1,Laptop Motherboard Assembly,Buy,Copper / Steel,4 g,Standard,No
USB-C Connector 02,Component,1,Laptop Motherboard Assembly,Buy,Copper / Steel,4 g,Standard,No
USB-A Connector,Component,1,Laptop Motherboard Assembly,Buy,Copper / Steel,4 g,Standard,No
HDMI Connector,Component,1,Laptop Motherboard Assembly,Buy,Copper / Steel,5 g,Standard,No
Audio Jack,Component,1,Laptop Motherboard Assembly,Buy,Plastic / Copper,2 g,Standard,No
LAN Controller IC,Electrical,1,Laptop Motherboard Assembly,Buy,Silicon,1 g,Standard,No
ESD Diode USB-01,Electrical,1,Laptop Motherboard Assembly,Buy,Silicon,0.01 g,Standard,No
ESD Diode USB-02,Electrical,1,Laptop Motherboard Assembly,Buy,Silicon,0.01 g,Standard,No
ESD Diode HDMI,Electrical,1,Laptop Motherboard Assembly,Buy,Silicon,0.01 g,Standard,No
M.2 Connector,Component,1,Laptop Motherboard Assembly,Buy,Plastic / Copper,3 g,Standard,No
M.2 Retention Screw,Fastener,1,Laptop Motherboard Assembly,Buy,Steel,0.2 g,Standard,Yes
EMI Shield Can 01,Component,1,Laptop Motherboard Assembly,Make,Nickel Silver,3 g,Custom,No
EMI Shield Can 02,Component,1,Laptop Motherboard Assembly,Make,Nickel Silver,3 g,Custom,No
EMI Shield Can 03,Component,1,Laptop Motherboard Assembly,Make,Nickel Silver,3 g,Custom,No
Thermal Pad 01,Material,1,Laptop Motherboard Assembly,Buy,Silicone,2 g,Standard,No
Thermal Pad 02,Material,1,Laptop Motherboard Assembly,Buy,Silicone,2 g,Standard,No
Thermal Pad 03,Material,1,Laptop Motherboard Assembly,Buy,Silicone,2 g,Standard,No
Motherboard Mounting Screw 01,Fastener,1,Laptop Motherboard Assembly,Buy,Steel,0.5 g,Standard,Yes
Motherboard Mounting Screw 02,Fastener,1,Laptop Motherboard Assembly,Buy,Steel,0.5 g,Standard,Yes
