Part Name,Part Type,Qty,Parent Assembly,Make/Buy,Material,Weight,Standard/Custom,Fastener
Main Wiring Harness,Assembly,1,Top Level,Buy,Copper/PVC,18 kg,Custom,No
Body Control Module,Component,1,Main Harness,Buy,PCB/ABS,0.6 kg,Custom,No
Central Gateway ECU,Component,1,Main Harness,Buy,PCB/Al,0.4 kg,Custom,No
Fuse Box Assembly,Sub-Assy,1,Main Harness,Buy,Plastic/Brass,1.1 kg,Custom,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Ultrasonic Sensor,Component,1,Main Harness,Buy,Plastic/Elec,0.04 kg,Standard,No
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
Plastic Harness Clip,Fastener,1,Main Harness,Buy,Nylon,3g,Standard,Yes
