Part Name,Part Type,Qty,Parent Assembly,Make/Buy,Material,Weight,Standard/Custom,Fastener
HV Battery Pack,Assembly,1,Top Level,Make,Mixed,480 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Module,Sub-Assy,1,HV Battery Pack,Buy,Li-Ion/Al,24 kg,Custom,No
Battery Management System,Component,1,HV Battery Pack,Buy,PCB/Plastic,0.8 kg,Custom,No
Thermal Cold Plate,Component,1,HV Battery Pack,Buy,Aluminum,14 kg,Custom,No
High Voltage Contactor,Component,1,HV Battery Pack,Buy,Mixed,0.5 kg,Standard,No
High Voltage Contactor,Component,1,HV Battery Pack,Buy,Mixed,0.5 kg,Standard,No
Upper Cover Seal,Component,1,HV Battery Pack,Buy,EPDM,1.2 kg,Custom,No
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
Torx Bolt M6x20,Fastener,1,Battery Module,Buy,Stainless Steel,8g,Standard,Yes
