Part Name,Part Type,Qty,Parent Assembly,Make/Buy,Material,Weight,Standard/Custom,Fastener
Instrument Panel Assy,Assembly,1,Top Level,Make,Mixed,35 kg,Custom,No
Cockpit Cross Car Beam,Component,1,Instrument Panel,Buy,Magnesium,6.5 kg,Custom,No
IP Main Skin,Component,1,Instrument Panel,Buy,TPO/Foam,4.8 kg,Custom,No
HVAC Unit,Sub-Assy,1,Instrument Panel,Buy,PP/Aluminum,8.2 kg,Custom,No
Infotainment Display,Component,1,Instrument Panel,Buy,Glass/Elec,1.5 kg,Custom,No
Glove Box Assembly,Sub-Assy,1,Instrument Panel,Make,PP,1.8 kg,Custom,No
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
Scrivet / Plastic Rivet,Fastener,1,Instrument Panel,Buy,Nylon,2g,Standard,Yes
